event_name,category,date,start_time,venue,address,organizer,description,price,capacity,latitude,longitude,rating,rating_count,traffic_score,tags
Grand Music Night in Kandy,Market,20-Jun-24,11:45,Kandy Lakefront Hall,"29 Temple Road, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,0,50,7.315604,80.638371,3.9,10,37.29,indoor
Community Cultural Show in Kandy,Film Screening,2-Jan-25,12:15,Kandy City Centre Auditorium,"144 Peradeniya Road, Kandy",Mahaweli Event Planners,A community-focused event bringing together locals and visitors.,0,150,7.27251,80.633446,4.7,3,20.71,kids
Weekly Film Night in Kandy,Market,23-Nov-23,9:45,Kandy Regency Hotel,"57 Lake Road, Kandy",Lanka Events Co.,"Live performances, food stalls, and family activities.",500,150,7.305327,80.622221,4.8,4,22.43,"paid,indoor"
Community Art Fair in Kandy,Academic Seminar,23-Oct-26,16:00,Ramada Kandy Banquet,"149 Main Street, Kandy",Peradeniya Botanical Events,An outdoor celebration showcasing local culture and crafts.,1000,300,7.243061,80.63176,4.9,50,36.29,indoor
Annual Startup Pitch in Kandy,Education,30-Nov-25,12:30,Mahaweli Reach Hotel Conference Room,"85 Hill Street, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,750,500,7.265113,80.649361,5,18,25.57,"indoor,tickets_required,family"
Community Business Meetup in Kandy,Business Expo,23-Dec-23,15:45,Pallekele International Cricket Stadium,"54 Garden Avenue, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,2000,400,7.302861,80.632466,4.2,302,40.57,"paid,indoor,tickets_required"
Annual Music Night in Kandy,Business Conference,27-Sep-24,13:15,Kandy Regency Hotel,"63 Garden Avenue, Kandy",Kandy Tourism Board,An informative session with expert speakers and networking opportunities.,500,300,7.288902,80.643794,4.6,66,37.86,"free,paid,student"
Local Cultural Show in Kandy,Educational Workshop,13-Apr-23,13:00,Ramada Kandy Banquet,"119 Market Lane, Kandy",Kandy Foodies Club,Hands-on workshop suitable for beginners and professionals.,2000,750,7.282491,80.629125,4.9,26,27.57,professional
Community Film Night in Kandy,Sports Event,29-Jul-26,14:45,Kandy Regency Hotel,"20 Market Lane, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,200,100,7.262858,80.60902,5,1,25.86,"outdoor,paid,student"
Open Cultural Show in Kandy,Cultural Festival,1-May-25,7:15,Kandy Open-Air Stage,"150 Market Lane, Kandy",Kandy Foodies Club,Hands-on workshop suitable for beginners and professionals.,2000,50,7.241563,80.651646,5,167,33.29,"tickets_required,registration,outdoor"
Monthly Startup Pitch in Kandy,Religious,21-Sep-25,6:45,Kandy Sports Complex,"104 Market Lane, Kandy",Peradeniya Botanical Events,An outdoor celebration showcasing local culture and crafts.,0,750,7.253204,80.622717,4,2,22.29,"networking,free,paid"
Local Film Night in Kandy,Educational Workshop,13-Apr-23,14:45,Local Community Hall,"84 Main Street, Kandy",Kandy Municipal Council,An outdoor celebration showcasing local culture and crafts.,1500,200,7.300898,80.616539,4.9,17,35.71,kids
Local Handicraft Market in Kandy,Academic Seminar,27-Aug-26,7:00,Bogambara Stadium,"6 Hill Street, Kandy",Kandy Youth Network,An outdoor celebration showcasing local culture and crafts.,500,400,7.252191,80.598835,5,62,31,"paid,family,indoor"
Annual Book Reading in Kandy,Networking,30-Sep-24,18:45,Kandy Town Hall,"177 Peradeniya Road, Kandy",Mahaweli Event Planners,Hands-on workshop suitable for beginners and professionals.,200,750,7.290179,80.597133,4.7,18,27.14,"kids,paid,tickets_required"
Monthly Handicraft Market in Kandy,Music Event,30-Sep-25,9:45,Mahaweli Reach Hotel Conference Room,"118 Market Lane, Kandy",Festival Lanka,Hands-on workshop suitable for beginners and professionals.,750,750,7.252239,80.60233,4.6,17,33.71,"registration,indoor,kids"
Community Music Night in Kandy,Art & Craft,12-Jul-25,13:45,Bogambara Stadium,"127 Peradeniya Road, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,750,250,7.266001,80.624128,4.5,23,62.67,"outdoor,paid,networking"
Weekly Music Night in Kandy,Theatre,7-May-24,21:45,Kandy Open-Air Stage,"24 Main Street, Kandy",Kandy Youth Network,Hands-on workshop suitable for beginners and professionals.,1000,400,7.257728,80.638425,4.8,22,23.43,"tickets_required,kids,registration"
Annual Coding Workshop in Kandy,Sports Event,17-Apr-24,9:15,Nawaloka Hall,"138 Peradeniya Road, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,750,750,7.295213,80.603408,5,1,33.14,"outdoor,kids"
Annual Job Fair in Kandy,Sports Event,29-Dec-25,10:30,Kandy Town Hall,"75 Market Lane, Kandy",Heritage Kandy,Hands-on workshop suitable for beginners and professionals.,200,50,7.315527,80.634651,5,1,36.71,"family,free"
Grand Startup Pitch in Kandy,Art & Craft,14-May-23,18:45,Kandy Art Gallery,"176 Temple Road, Kandy",University of Peradeniya,An outdoor celebration showcasing local culture and crafts.,200,150,7.252138,80.64678,4.3,26,40.29,"outdoor,tickets_required,student"
Grand Coding Workshop in Kandy,Film Screening,20-Apr-26,19:30,Local Community Hall,"26 Peradeniya Road, Kandy",Lanka Events Co.,A community-focused event bringing together locals and visitors.,300,150,7.256623,80.604772,3.9,455,41.67,"professional,registration"
Monthly Food Festival in Kandy,Sports Event,13-Aug-24,15:45,Kandy City Centre Auditorium,"68 Peradeniya Road, Kandy",Kandy Music Circle,"Live performances, food stalls, and family activities.",500,300,7.3033,80.631285,5,2,19.71,paid
Open Coding Workshop in Kandy,Educational Workshop,11-Mar-26,15:45,Nawaloka Hall,"78 Market Lane, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,2000,75,7.272201,80.609057,4.3,81,40.43,"free,paid"
Open Job Fair in Kandy,Academic Seminar,12-Feb-23,14:00,Riverbank Event Space,"167 Garden Avenue, Kandy",Local Artists Collective,"Live performances, food stalls, and family activities.",2000,75,7.313286,80.602704,4.5,2,48.86,"networking,paid"
Open Tech Summit in Kandy,Cultural Festival,11-Oct-25,15:45,Mahaweli Reach Hotel Conference Room,"81 Main Street, Kandy",Heritage Kandy,A community-focused event bringing together locals and visitors.,100,1000,7.265862,80.657913,4.8,50,39.43,tickets_required
Grand Art Fair in Kandy,Networking,24-Jun-25,7:15,Kandy Art Gallery,"74 Garden Avenue, Kandy",Kandy Tourism Board,An outdoor celebration showcasing local culture and crafts.,0,1000,7.310468,80.62393,4.1,21,25.43,tickets_required
Open Coding Workshop in Kandy,Business Conference,21-Aug-23,20:00,Kandy Regency Hotel,"75 Hill Street, Kandy",Festival Lanka,An informative session with expert speakers and networking opportunities.,2000,150,7.296433,80.619084,4.4,5,35.14,"tickets_required,family,paid"
Monthly Business Meetup in Kandy,Market,5-Nov-25,14:00,Mahaweli Reach Hotel Conference Room,"151 Hill Street, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,0,500,7.319912,80.624275,5,3,35,"student,professional,kids"
Community Coding Workshop in Kandy,Education,23-Feb-25,13:45,Kandy Regency Hotel,"122 Market Lane, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,300,400,7.313074,80.616686,5,28,24.14,"paid,professional"
Open Cultural Show in Kandy,Food Event,23-Oct-23,19:15,Local Community Hall,"68 Main Street, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,0,250,7.289861,80.617824,5,1,24.86,"free,registration,paid"
Open Art Fair in Kandy,Academic Seminar,5-Jul-23,19:00,Nawaloka Hall,"178 Main Street, Kandy",Kandy Music Circle,An informative session with expert speakers and networking opportunities.,750,250,7.312274,80.593219,4.5,4,31.71,"student,registration,family"
Local Film Night in Kandy,Educational Workshop,22-Feb-25,13:45,Bogambara Stadium,"164 Main Street, Kandy",Local Artists Collective,Hands-on workshop suitable for beginners and professionals.,2000,200,7.276766,80.636679,4.1,203,40.14,"registration,indoor"
Annual Food Festival in Kandy,Education,10-Sep-24,12:45,Kandy Sports Complex,"98 Hill Street, Kandy",Kandy Foodies Club,An outdoor celebration showcasing local culture and crafts.,100,1000,7.268717,80.610711,4.5,6,25.57,"free,registration,professional"
Monthly Cultural Show in Kandy,Market,22-Dec-24,13:15,Kandy Regency Hotel,"185 Peradeniya Road, Kandy",Local Artists Collective,"Live performances, food stalls, and family activities.",100,200,7.292735,80.648684,4.2,67,31,"family,paid,indoor"
Weekly Art Fair in Kandy,Education,16-Feb-24,10:30,Mahaweli Reach Hotel Conference Room,"66 Peradeniya Road, Kandy",Kandy Municipal Council,An informative session with expert speakers and networking opportunities.,0,250,7.315535,80.657717,4.1,266,43.71,networking
Grand Tech Summit in Kandy,Art & Craft,4-Jul-23,18:00,Kandy Open-Air Stage,"117 Main Street, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,1000,75,7.293826,80.637064,5,1,24,"kids,registration,outdoor"
Local Music Night in Kandy,Academic Seminar,6-Dec-26,15:45,Local Community Hall,"10 Main Street, Kandy",Mahaweli Event Planners,"Live performances, food stalls, and family activities.",0,500,7.319674,80.598128,4.4,389,54.57,"tickets_required,student,family"
Monthly Yoga Session in Kandy,Academic Seminar,29-Sep-25,19:30,Peradeniya Botanical Gardens Lawn,"56 Garden Avenue, Kandy",Festival Lanka,"Live performances, food stalls, and family activities.",1000,500,7.275576,80.606528,3.5,11,24.71,paid
Local Art Fair in Kandy,Business Conference,2-Aug-26,6:00,Kandy Cultural Centre,"145 Lake Road, Kandy",Kandy Tourism Board,An outdoor celebration showcasing local culture and crafts.,0,150,7.245489,80.643561,4.1,12,29.57,indoor
Annual Yoga Session in Kandy,Educational Workshop,24-Dec-23,9:00,Kandy Open-Air Stage,"61 Hill Street, Kandy",Lanka Events Co.,Hands-on workshop suitable for beginners and professionals.,0,300,7.265902,80.602197,4.8,10,29.14,"kids,tickets_required"
Monthly Music Night in Kandy,Theatre,13-Jun-26,7:30,Ramada Kandy Banquet,"16 Garden Avenue, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,0,400,7.307784,80.619839,3.9,560,52.43,paid
Open Job Fair in Kandy,Sports Event,29-Dec-26,16:45,Riverbank Event Space,"155 Garden Avenue, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",500,300,7.247934,80.639125,5,2,31.86,"student,networking"
Monthly Film Night in Kandy,Cultural Festival,24-Sep-26,14:30,Mahaweli Reach Hotel Conference Room,"18 Temple Road, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,0,250,7.306542,80.596526,5,11,29.71,"kids,paid,student"
Annual Book Reading in Kandy,Art & Craft,16-Apr-23,15:30,Mahaweli Reach Hotel Conference Room,"130 Lake Road, Kandy",Festival Lanka,An outdoor celebration showcasing local culture and crafts.,1000,500,7.252378,80.623753,4.8,410,30,student
Community Music Night in Kandy,Networking,5-Jan-24,14:30,Kandy Sports Complex,"47 Peradeniya Road, Kandy",Kandy Cultural Society,An informative session with expert speakers and networking opportunities.,0,1000,7.25146,80.636014,5,19,23.57,"student,professional"
Local Cultural Show in Kandy,Educational Workshop,26-Oct-24,8:00,Kandy Municipal Grounds,"159 Temple Road, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,2000,750,7.293917,80.609047,5,8,25.86,"paid,kids,student"
Open Book Reading in Kandy,Sports Event,15-Dec-25,15:00,Riverbank Event Space,"15 Temple Road, Kandy",Kandy Foodies Club,Hands-on workshop suitable for beginners and professionals.,750,200,7.256354,80.656173,5,9,35.57,"student,family,registration"
Weekly Coding Workshop in Kandy,Food Event,18-Feb-26,17:00,Kandy Regency Hotel,"11 Garden Avenue, Kandy",Sri Lanka Conference Org,A community-focused event bringing together locals and visitors.,1500,750,7.241499,80.654481,4.4,922,31.57,"free,kids"
Weekly Tech Summit in Kandy,Market,13-Nov-26,17:00,Local Community Hall,"63 Garden Avenue, Kandy",Festival Lanka,A community-focused event bringing together locals and visitors.,750,250,7.28711,80.626677,5,71,35.43,"networking,paid,tickets_required"
Local Business Meetup in Kandy,Film Screening,14-Aug-26,10:15,Kandy Municipal Grounds,"51 Lake Road, Kandy",Kandy Sports Association,An outdoor celebration showcasing local culture and crafts.,300,1000,7.288192,80.643215,3.7,9,32.33677027,"networking,registration"
Monthly Business Meetup in Kandy,Art & Craft,19-Jun-25,8:45,Temple of the Tooth Grounds,"71 Hill Street, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,2000,50,7.244494,80.625514,5,2,33.29,"paid,registration,tickets_required"
Grand Film Night in Kandy,Theatre,26-Mar-23,20:15,Riverbank Event Space,"129 Lake Road, Kandy",Sri Lanka Conference Org,An informative session with expert speakers and networking opportunities.,1000,75,7.316618,80.621537,4.5,16,34.29,"professional,networking,tickets_required"
Monthly Book Reading in Kandy,Cultural Festival,2-Aug-24,18:45,Kandy Municipal Grounds,"14 Peradeniya Road, Kandy",Mahaweli Event Planners,A community-focused event bringing together locals and visitors.,1500,200,7.290471,80.613425,5,6,27.14,"networking,family,kids"
Monthly Cultural Show in Kandy,Academic Seminar,3-May-26,8:30,Pallekele International Cricket Stadium,"85 Peradeniya Road, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,200,1000,7.250224,80.639198,3.9,1501,21.43,"indoor,family"
Community Handicraft Market in Kandy,Cultural Festival,8-Apr-24,10:15,Kandy Art Gallery,"26 Hill Street, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,100,1000,7.30167,80.648458,4.8,82,21.14,family
Monthly Coding Workshop in Kandy,Art & Craft,15-Jun-25,7:45,University of Peradeniya Lecture Theatre,"61 Garden Avenue, Kandy",Heritage Kandy,An informative session with expert speakers and networking opportunities.,500,500,7.288848,80.642667,5,1,22.57,"networking,registration"
Weekly Food Festival in Kandy,Theatre,21-Feb-25,22:45,Nawaloka Hall,"155 Lake Road, Kandy",Kandy Youth Network,"Live performances, food stalls, and family activities.",1000,500,7.30984,80.593653,4.2,1090,29.86,family
Community Music Night in Kandy,Theatre,14-Jun-25,8:15,Ramada Kandy Banquet,"107 Temple Road, Kandy",Kandy Municipal Council,A community-focused event bringing together locals and visitors.,200,250,7.271716,80.616177,5,4,23.57,"networking,kids,family"
Grand Music Night in Kandy,Music Event,25-Aug-25,10:45,Nawaloka Hall,"21 Temple Road, Kandy",Mahaweli Event Planners,A community-focused event bringing together locals and visitors.,1500,75,7.260474,80.648447,4,63,31,outdoor
Monthly Art Fair in Kandy,Academic Seminar,16-Aug-23,21:00,Local Community Hall,"75 Garden Avenue, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,300,1000,7.240125,80.614697,5,110,40.86,"tickets_required,networking,registration"
Monthly Music Night in Kandy,Business Expo,25-Jul-26,18:30,Kandy Art Gallery,"92 Peradeniya Road, Kandy",Kandy Cultural Society,"Live performances, food stalls, and family activities.",200,750,7.245405,80.606879,2,1,35.57,"kids,family,professional"
Community Food Festival in Kandy,Academic Seminar,4-Oct-23,8:45,University of Peradeniya Lecture Theatre,"12 Peradeniya Road, Kandy",Kandy Youth Network,An informative session with expert speakers and networking opportunities.,1500,500,7.255958,80.592933,5,14,26.43,"kids,free"
Open Yoga Session in Kandy,Sports Event,23-Jan-25,19:45,Peradeniya Botanical Gardens Lawn,"48 Garden Avenue, Kandy",Kandy Youth Network,An outdoor celebration showcasing local culture and crafts.,750,75,7.295365,80.615714,4.2,6,22.83,tickets_required
Grand Coding Workshop in Kandy,Cultural Festival,2-Nov-24,15:30,Peradeniya Botanical Gardens Lawn,"110 Lake Road, Kandy",University of Peradeniya,A community-focused event bringing together locals and visitors.,0,250,7.295181,80.614608,3.9,15,29.14,"networking,student,kids"
Annual Food Festival in Kandy,Music Event,29-May-26,20:00,Kandy Lakefront Hall,"200 Market Lane, Kandy",Festival Lanka,Hands-on workshop suitable for beginners and professionals.,300,1000,7.269306,80.6168,5,1,31.43,registration
Annual Coding Workshop in Kandy,Food Event,5-Oct-24,14:15,Kandy Municipal Grounds,"48 Garden Avenue, Kandy",Peradeniya Botanical Events,Hands-on workshop suitable for beginners and professionals.,0,200,7.28142,80.653948,4.4,53,37.29,paid
Monthly Yoga Session in Kandy,Art & Craft,20-Dec-23,20:00,Bogambara Stadium,"182 Temple Road, Kandy",Kandy Foodies Club,An informative session with expert speakers and networking opportunities.,0,100,7.284,80.610325,5,2,34.14,outdoor
Grand Tech Summit in Kandy,Religious,9-Jan-25,17:45,Kandy Art Gallery,"17 Main Street, Kandy",Kandy Cultural Society,A community-focused event bringing together locals and visitors.,1500,300,7.271853,80.640185,5,3,35.43,"professional,tickets_required"
Grand Handicraft Market in Kandy,Educational Workshop,18-Apr-26,11:15,Kandy Open-Air Stage,"15 Peradeniya Road, Kandy",Kandy Tourism Board,"Live performances, food stalls, and family activities.",0,250,7.249933,80.600711,4.2,177,32.33677027,indoor
Grand Book Reading in Kandy,Academic Seminar,14-Sep-23,15:00,Kandy Open-Air Stage,"40 Lake Road, Kandy",Lanka Events Co.,"Live performances, food stalls, and family activities.",100,50,7.292699,80.640444,5,2,44.25,"outdoor,registration,student"
Weekly Cultural Show in Kandy,Theatre,7-Aug-26,15:45,Kandy Open-Air Stage,"176 Garden Avenue, Kandy",Lanka Events Co.,An informative session with expert speakers and networking opportunities.,0,400,7.263795,80.595108,4.4,92,41.71,"registration,family"
Grand Job Fair in Kandy,Art & Craft,8-Dec-24,18:15,Temple of the Tooth Grounds,"28 Main Street, Kandy",Heritage Kandy,An outdoor celebration showcasing local culture and crafts.,300,75,7.259339,80.598577,5,9,28.71,"outdoor,family"
Grand Film Night in Kandy,Film Screening,2-Oct-24,12:15,Riverbank Event Space,"128 Main Street, Kandy",Heritage Kandy,A community-focused event bringing together locals and visitors.,2000,150,7.27979,80.596303,5,1,24.71,"professional,registration"
Monthly Yoga Session in Kandy,Sports Event,9-Aug-23,19:15,Kandy Open-Air Stage,"196 Garden Avenue, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,500,250,7.269275,80.618041,5,20,25.86,"professional,tickets_required,indoor"
Local Book Reading in Kandy,Educational Workshop,3-Feb-25,16:30,Peradeniya Botanical Gardens Lawn,"131 Garden Avenue, Kandy",Peradeniya Botanical Events,An informative session with expert speakers and networking opportunities.,0,250,7.280006,80.593171,5,2,37,"tickets_required,family,kids"
Open Handicraft Market in Kandy,Educational Workshop,4-Sep-24,16:45,Pallekele International Cricket Stadium,"5 Main Street, Kandy",Local Artists Collective,An outdoor celebration showcasing local culture and crafts.,750,1000,7.266499,80.597672,3.9,187,59.29,"outdoor,free,professional"
Local Music Night in Kandy,Food Event,26-Oct-26,13:00,Pallekele International Cricket Stadium,"113 Main Street, Kandy",Kandy Municipal Council,An outdoor celebration showcasing local culture and crafts.,0,500,7.273502,80.618907,4.3,1615,31.14,tickets_required
Grand Yoga Session in Kandy,Academic Seminar,10-Feb-25,16:15,Kandy Art Gallery,"140 Main Street, Kandy",Sri Lanka Conference Org,"Live performances, food stalls, and family activities.",750,750,7.294069,80.650736,4.1,212,45.43,"indoor,outdoor,networking"
Community Job Fair in Kandy,Education,14-Dec-26,21:30,Kandy Cultural Centre,"185 Main Street, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",1500,250,7.263023,80.630143,4.3,454,51.14,"paid,kids,professional"
Annual Book Reading in Kandy,Education,18-Feb-24,14:30,Kandy Art Gallery,"190 Hill Street, Kandy",Kandy Music Circle,Hands-on workshop suitable for beginners and professionals.,500,1000,7.259143,80.593554,5,1,33.14,"professional,paid"
Monthly Food Festival in Kandy,Music Event,20-Nov-23,19:45,Kandy Open-Air Stage,"194 Main Street, Kandy",Mahaweli Event Planners,An informative session with expert speakers and networking opportunities.,200,1000,7.265693,80.635213,5,1,29.14,"family,free"
Grand Book Reading in Kandy,Market,15-Aug-24,7:00,Kandy Art Gallery,"28 Main Street, Kandy",Kandy Municipal Council,An informative session with expert speakers and networking opportunities.,2000,100,7.262765,80.659237,4.8,10,43.86,kids
Weekly Business Meetup in Kandy,Education,10-Jun-24,11:00,Local Community Hall,"146 Market Lane, Kandy",Kandy Tourism Board,Hands-on workshop suitable for beginners and professionals.,1500,300,7.300583,80.602285,4.1,284,47.14,"paid,family,registration"
Weekly Business Meetup in Kandy,Cultural Festival,18-Jun-24,18:15,Kandy Regency Hotel,"85 Main Street, Kandy",Kandy Cultural Society,Hands-on workshop suitable for beginners and professionals.,0,250,7.286597,80.630101,4.3,13,33.71,"family,student"
Local Film Night in Kandy,Education,27-Aug-24,17:15,Peradeniya Botanical Gardens Lawn,"40 Garden Avenue, Kandy",Kandy Tourism Board,A community-focused event bringing together locals and visitors.,2000,500,7.299819,80.632402,4.2,99,41,"professional,tickets_required,kids"
Local Yoga Session in Kandy,Film Screening,7-May-23,22:15,Riverbank Event Space,"134 Garden Avenue, Kandy",University of Peradeniya,An informative session with expert speakers and networking opportunities.,200,500,7.249299,80.604378,4,48,26.43,"student,professional,free"
Monthly Food Festival in Kandy,Academic Seminar,14-Feb-23,18:30,Nawaloka Hall,"149 Temple Road, Kandy",Heritage Kandy,"Live performances, food stalls, and family activities.",0,50,7.243623,80.614117,4.7,7,34.43,"family,networking"
Monthly Handicraft Market in Kandy,Cultural Festival,12-Feb-25,18:00,Pallekele International Cricket Stadium,"90 Temple Road, Kandy",Kandy Foodies Club,An outdoor celebration showcasing local culture and crafts.,500,50,7.254278,80.627608,4.3,72,74.6,"tickets_required,student"
Annual Cultural Show in Kandy,Religious,14-Nov-23,14:15,Local Community Hall,"170 Garden Avenue, Kandy",Kandy Sports Association,A community-focused event bringing together locals and visitors.,500,150,7.289194,80.655537,5,3,20.14,"registration,free"
Local Job Fair in Kandy,Education,17-Jun-25,13:15,Kandy City Centre Auditorium,"75 Lake Road, Kandy",Peradeniya Botanical Events,An informative session with expert speakers and networking opportunities.,1000,150,7.305263,80.641206,4.8,4,30.71,"indoor,networking"
Community Startup Pitch in Kandy,Food Event,25-Dec-23,19:45,Riverbank Event Space,"172 Garden Avenue, Kandy",Mahaweli Event Planners,Hands-on workshop suitable for beginners and professionals.,300,200,7.302864,80.612311,4,10,36.14,outdoor
Grand Job Fair in Kandy,Art & Craft,6-Aug-25,7:45,Kandy Lakefront Hall,"35 Garden Avenue, Kandy",Kandy Youth Network,A community-focused event bringing together locals and visitors.,2000,250,7.259429,80.604234,4.9,84,19.71,"student,registration"
Weekly Yoga Session in Kandy,Art & Craft,18-Apr-26,12:45,Bogambara Stadium,"78 Temple Road, Kandy",Kandy Music Circle,An outdoor celebration showcasing local culture and crafts.,2000,150,7.256945,80.603302,3.7,27,33.29,"indoor,student"
